id,logo,name,descrption,prix,id_restaurant
4069696,,Cookie Luxe Caramel Au beurre salé,,"3,60 €",44385
794808,,Yaourt Bagelstein,Actuellement vendu,"3,10 €",13833
1655795,,Cancun,"Thon Mariné Comme Un Ceviche, Maïs Grillé, Oignon Rouge Guacamole, Chou Rouge, Chips De Patate Douce, Coriandre, Sauce Au Piment Aji Amarillo, Salade","12,00 €",24743
1655796,,Tokyo,"Thon, Chou Rouge, Carotte, Wakame, Mangue, Poivron, Radis, Betterave, Ciboulette, Sauce Miso","12,00 €",24743
1655797,,Frida (Chaud),Actuellement vendu,"12,00 €",24743
1655798,,Mizuki,Actuellement vendu,"10,00 €",24743
1655799,,Tijuana (Chaud),Actuellement vendu,"10,00 €",24743
1655800,,Mariachi,"Saumon, Guacamole, Cheddar, Adamame, Nachos Chips, Salade, Ciboulettes, Carotte, Spicy Mayo","12,00 €",24743
1655801,,Sumo,"Saumon, Guacamole, Gingembre Rose, Cream Cheese, Carotte, Germes De Soja, Chou Rouge, Sauce Soya, Miel Et Sésame","12,00 €",24743
1655802,,Midori,Actuellement vendu,"10,00 €",24743
2249033,,Soupe Fuumiso,Actuellement vendu,"3,50 €",24743
1655806,,Nachos,,"2,50 €",24743
1655807,,Nachos + Guacamole,,"3,50 €",24743
2352602,,Nachos + Cheddar Fondu,,"3,50 €",24743
1655808,,Piment Aji Amarillo,,"0,50 €",24743
1655810,,Sauce Baja,,"0,50 €",24743
1655809,,Sauce Coco Curry,,"0,50 €",24743
1655811,,Miso,,"0,50 €",24743
1655812,,Spicy Mayo,,"0,50 €",24743
1655813,,Miel Et Sésame,,"0,50 €",24743
1655814,,Sauce Verde,,"0,50 €",24743
1655815,,Guacamole,,"1,50 €",24743
2879919,,Teryaki,,"0,50 €",24743
2352595,,Cheddar Fondu,,"1,50 €",24743
1655817,,Coca Cola,33CL,"2,00 €",24743
1655818,,Coca Cola Zéro,33CL,"2,00 €",24743
1655820,,Eau Plate,50CL,"2,00 €",24743
1655821,,Eau Gazeuse,50CL,"2,00 €",24743
1655822,,Cookies ,,"2,50 €",24743
3903251,,Le Classic,"Steak de bœuf 150g, salade, moutarde américaine, ketchup, pickles","7,50 €",51617
3903257,http://cdn1.deliveroo.co.uk/media/menu_items/3903257/320x180.jpg?v=1497449195,Le Cheese,"Steak de bœuf 150g, double cheddar, salade, tomate, moutarde américaine, ketchup, pickles
","10,00 €",51617
3903265,http://cdn1.deliveroo.co.uk/media/menu_items/3903265/320x180.jpg?v=1497449523,Le BBQ,"Steak de boeuf 150g, cheddar, bacon, oignons confits, salade, tomate, sauce BBQ, pickles","11,00 €",51617
3903272,http://cdn1.deliveroo.co.uk/media/menu_items/3903272/320x180.jpg?v=1497513156,Le Veggie,"Galette de lentilles corail, salade, tomate, fromage blanc aux herbes, oignons rouges","11,00 €",51617
3903275,http://cdn1.deliveroo.co.uk/media/menu_items/3903275/320x180.jpg?v=1497513144,Le Bonhomme,"Steak de bœuf 150g, cheddar, bacon, salade, tomate, avocat, sauce Bonhomme, pickles","12,00 €",51617
3903280,http://cdn1.deliveroo.co.uk/media/menu_items/3903280/320x180.jpg?v=1497449393,Le Gars Sûr,"2 steaks de bœuf 150g, double cheddar, salade, tomate, sauce Bonhomme, oignons rouges","13,00 €",51617
3903452,,Le Classic + Frites + Boisson,"Steak de bœuf 150g, salade, moutarde américaine, ketchup, pickles ","11,50 €",51617
3903462,,Le Cheese + Frites + Boisson,"Steak de bœuf 150g, double cheddar, salade, tomate, moutarde américaine, ketchup, pickles","14,00 €",51617
3903494,,Le BBQ + Frites + Boisson,"Steak de bœuf 150g, cheddar, bacon, oignons confits, salade, tomate, sauce BBQ, pickles","15,00 €",51617
3903500,,Le Veggie + Frites + Boisson,"Galette de lentilles corail, salade, tomate, fromage blanc aux herbes, oignons rouges","15,00 €",51617
3903508,,Le Bonhomme + Frites + Boisson,"Steak de boeuf 150g, cheddar, bacon, salade, tomate, avocat, sauce Bonhomme, pickles","16,00 €",51617
3903513,,Le Gars Sûr + Frites + Boisson,"2 steaks de bœuf 150g, double cheddar, salade, tomate, sauce Bonhomme, oignons rouges","17,00 €",51617
3903565,,Le Classic + Frites + Dessert,"Steak de bœuf 150g, salade, moutarde américaine, ketchup, pickles 
","13,00 €",51617
3903573,,Le Cheese + Frites + Dessert,"Steak de bœuf 150g, double cheddar, salade, tomate, moutarde américaine, ketchup, pickles","15,50 €",51617
3903575,,Le BBQ + Frites + Dessert,"Steak de bœuf 150g, cheddar, bacon, oignons confits, salade, tomate, sauce BBQ, pickles","16,50 €",51617
3903689,,Le Veggie + Frites + Dessert,"Galette de lentilles corail, salade, tomate, fromage blanc aux herbes, oignons rouges","16,50 €",51617
3903693,,Le Bonhomme + Frites + Dessert,"Steak de bœuf 150g, cheddar, bacon, salade, tomate, avocat, sauce Bonhomme, pickles","17,50 €",51617
3903764,,Le Gars Sûr + Frites + Dessert,"2 steaks de bœuf 150g, double cheddar, salade, tomate, sauce Bonhomme, oignons rouges","18,50 €",51617
3903842,,Coca,,"3,00 €",51617
3903844,,Coca Zéro,,"3,00 €",51617
3903846,,Nestea,,"3,00 €",51617
3903849,,Fanta,,"3,00 €",51617
3903852,,Evian,,"3,00 €",51617
3903859,,Badoit,,"3,00 €",51617
